民宿标题,价格,地利,评论数,得分,适合居住人数
北欧ins风4K投影大床房【吉林建筑大学】【吉林农业大学】【净月潭公园】【长影世纪城】【巴蜀映像】,189,近车场地铁站,8,4.9,2
【觅途】之Loft 巨幕投影大床房 / 这有山 /欧亚商都 / 红旗街,198,None,3,5.0,2
【海棠•民宿-一缕阳光】欧亚新生活||智能门锁自助入住||独立公寓||南湖公园,159,近文化广场地铁站,2,5.0,2
【柒玖】豪华ins 湖景一居室,164,近硅谷大街地铁站,13,5.0,2
【阿泽民宿】 •野蔓•  自助式密码入住 浴缸房，投影仪网红风可泡澡,168,None,None,None,2
香芋精品公寓阳光硅谷店温馨大床房,137,近硅谷大街地铁站,4,5.0,2
【橙途】会展中 心/世纪广场/休闲两居,210,None,41,5.0,4
清幽小筑民宿-中东旁LOFT北欧轻奢房,168,近长青地铁站,6,5.0,2
长春北站万达公寓轻奢·投影房,132,近长春站北地铁站,3,5.0,2
loft私人空间，投影清新大床房，密码自助,165,None,2,5.0,2
莫兰迪主题Loft复式大床房,138,近卫明街地铁站,7,4.9,2
北欧轻奢4k投影大床房【吉林建筑大学】【吉林农业大学】【净月潭公园】【长影世纪城】【巴蜀映像】,189,近车场地铁站,6,4.5,2
桂林路商圈 美食一条街，东北师大，艺术学院，工程学院，南湖公园，红旗商圈，近地铁一号线,94,None,1,5.0,2
长春我行我宿酒店式公寓吉林大学前卫南区/硅谷大街大床房,107,近前进站地铁站,258,4.5,2
Vanna's 樱落 （Vanna's 理工大学店）,131,None,1,5.0,2
【葡萄民宿•黑桃】红旗街万达/这有山^,187,None,1,5.0,2
米兰公馆超豪华观景大床房,190,近浦东路地铁站,7,4.9,2
Ta寓创意主题酒店式公寓(长春光华学院店)东方广场/长春光华学院激情电动圆床情趣房,153,近东方广场地铁站,4,5.0,2
Vanna's loft (Vanna's 理工大学店),131,None,2,4.7,2
拾光集 Loft湖景智能门锁精品套房(可开发票/普/专),198,近卫明街地铁站,3,5.0,2
loft复式民宿,178,近东方广场地铁站,6,4.5,6
新上线/密码自助公寓/华润橡左橡右市政府吉大南校理工大学设施全美途,135,None,4,5.0,2
（逸馨）北站万达日租短租公寓 豪华大床房,123,近长春站北地铁站,23,4.9,2
万达三号公寓商务双人房,152,近长春站北地铁站,7,5.0,3
长春阿拉丁欧式豪华轻奢麻将套房二室一厅房,349,近宽平桥地铁站,64,4.9,4
长春微澜轻奢酒店吉林大学前卫南区/硅谷大街布达佩斯,269,近前进大街地铁站,10,5.0,2
长春乐住假日白领公寓飘窗房,129,近湖西桥地铁站,7,5.0,2
长春北岸家园假日酒店龙嘉机场/高铁站商圈北岸·商务双床房,108,None,4,4.6,2
【海棠•民宿-美室美客】红旗街万达||这有山||智能门锁自助入住||独立公寓||投屏电视,188,近建设广场地铁站,5,5.0,2
深度消毒赠一次性口罩(万豪世纪广场店)4,138,近世纪广场地铁站,4,5.0,2
【吉仙舍】吉大南校·欢乐城·浪漫风情·高清投屏投影仪 ·近轻轨··密码无接触入住·空调,148,近前进站地铁站,14,5.0,2
袋鼠民宿 赛德广场 摩天活力城loft,148,None,2,4.0,2
【葡萄民宿•西西里】红旗街万达/这有山^,175,None,3,5.0,2
长春富民酒店中日联医院/中东大市场豪华标准间,109,近浦东路地铁站,186,4.4,2
轻奢北欧投影精品房,159,None,3,5.0,2
loft情侣大床房，投影影院，密码自助,165,None,3,5.0,2
【美居】近地铁/吉大一院/文化广场/空调三居/可做饭,399,None,1,5.0,9
长春爵品精品酒店式公寓长春站/宽城万达精品双床房,118,近伪皇宫地铁站,42,4.9,2
二道区精装Loft，独立卫浴，空调，落地窗，亲眼可见伊通河，自主入住，可做饭,168,None,1,5.0,2
红旗街万达广场北欧Ins4k投影大床房【这有山】【吉大一院】【欧亚商都】【省医院】【南湖公园】,159,近湖西桥地铁站,15,4.9,2
奢华时代.欧式豪装民宿婚租一体,298,近东环城路地铁站,28,4.7,4
 初夏 精品大床房 垠禄新界 中日友好会馆 海关 近地铁4号线 商圈 医院 近大学 临河街 生产资料,175,近自由大路地铁站,9,5.0,2
城市驿家，轻奢风落地窗,125,None,None,None,2
香芋精品公寓阳光硅谷店精品大床房,165,近硅谷大街地铁站,4,5.0,2
环球贸易中心/净月大学城/生态广场/中懋国际公寓/摩天活力城/吉视传媒,226,近南三环地铁站,6,4.8,2
长春舒心《简约时尚小屋》,119,近长春站北地铁站,7,5.0,2
锦棠·臻品轻奢美宿(长春华庆路地铁站店)卫星广场/高速客运站雅致丨城景大床房,166,None,22,5.0,2
长春北欧风Bof主题民宿南岭体育场/东北师范大学商务双床房,137,近工农广场地铁站,6,5.0,2
红旗街商圈品质民宿【蓝月雅舍】之轻奢·粉,232,近湖西桥地铁站,11,5.0,2
吉大一院二部长春师范学院全新装修浪费情侣房,129,近东环城路地铁站,5,5.0,2
中东 欢乐颂 自助入住 loft大床房,150,None,7,4.8,3
近火车站 楼下地铁站及商圈 中东港砂之船九日民宿浪漫Loft,109,None,3,5.0,2
中日联医院/红事会东盛大街经纬路房,178,近自由大路地铁站,32,4.7,4
【拾安】艺术照圣地-芝加哥打字机严格消毒,156,近卫明街地铁站,6,5.0,2
净月长影旁电梯洋房 可容纳4-6人 卫生床品干净整洁,358,近长影世纪城地铁站,29,4.9,4
无接触密码自助大床公寓/橡树湾橡左橡右地铁一号美途短租月租,119,None,3,5.0,2
