民宿标题,价格,地利,评论数,得分,适合居住人数
北欧吊篮浴缸民宿|地铁3号线‖5号线便捷到达大雁塔‖近大唐西市‖近钟楼,257,近延平门站地铁站,13,5.0,2
市中心/3分至回民街/钟楼地铁口/不夜城,671,近钟楼地铁站,15,4.9,8
【桐居】近地铁/近商圈/兵马俑+华清池+长恨歌两室大宅阳光山景房,280,近临潼兵马俑旅游区,49,4.8,9
【有暖气】可月租可长租 粉巷/钟楼/鼓楼/回民街,166,近钟楼地铁站,46,5.0,2
近大雁塔，陕历博北欧主题大床房,275,近纬一街地铁站,73,4.9,2
贝卡利亚酒店(西安大学城店)长安大学城豪华标准间,165,近航天城地铁站,216,4.8,2
雅室近大雁塔/钟楼/交大/地铁一室,158,近延兴门站地铁站,18,5.0,3
广秀汇【壹零叁】骊山脚下/步行5分钟兵马俑/华清池/观景大露台/家庭出游/休闲麻将/可做饭烧烤1居,134,None,3,5.0,2
【傍城墙】宽敞4居2卫近地铁钟鼓楼回民街碑林,849,None,2,4.8,9
你是我的虚荣——大唐芙蓉园旁，地铁直达。看日出东方的太阳，超大露台房【饕餮】,442,近大唐芙蓉园地铁站,2,5.0,2
贝卡利亚酒店(西安大学城店)长安大学城豪华标准间,165,近航天城地铁站,216,4.8,2
雅室近大雁塔/钟楼/交大/地铁一室,158,近延兴门站地铁站,18,5.0,3
广秀汇【壹零叁】骊山脚下/步行5分钟兵马俑/华清池/观景大露台/家庭出游/休闲麻将/可做饭烧烤1居,134,None,3,5.0,2
【傍城墙】宽敞4居2卫近地铁钟鼓楼回民街碑林,849,None,2,4.8,9
你是我的虚荣——大唐芙蓉园旁，地铁直达。看日出东方的太阳，超大露台房【饕餮】,442,近大唐芙蓉园地铁站,2,5.0,2
喜玛臻选未来中心致享大床房,190,近丈八北路站地铁站,15,4.7,2
唐都医院旁/纺织城地铁口/华阳城1室1厅公寓房,163,近纺织城地铁站,9,5.0,2
海蓝-豪华大床房,238,近纬一街地铁站,2,5.0,2
「檐语间」近回民街钟鼓楼城墙地铁口,496,None,4,5.0,2
西安尚中心商务套房公寓高新技术开发区/绿地会展中心两室一厅六人套房,494,近科技路站地铁站,38,4.9,6
【旅行.家】钟鼓楼回民街旁精品大4室2厅,1399,近钟楼地铁站,28,5.0,8
