民宿标题,价格,地利,评论数,得分,适合居住人数
【瓶子里的书】市中心/投影/云大医院/昆华医院/潘家湾地铁站/看海鸥/可做饭/南向暖房,168,None,2,5.0,2
三室 近地铁站 新螺蛳湾 斗南花市 官渡古镇 大阳台 整套可做饭 ,214,近南部汽车站地铁站,22,4.9,6
【途优客】慕青·万达/空调/大床房,178,None,4,5.0,2
【今夜·当代艺术公寓】,165,近潘家湾地铁站,17,5.0,2
南屏街市中心简奢loft大床房俯瞰翠湖,180,近交三桥地铁站,47,4.7,2
【谷语】浴缸 100寸投影仪 一分钟到地铁口 清新阳光房 【宿颜】,198,近岷山地铁站,93,5.0,2
漫云『雲裳』近新螺蛳湾国际商贸城/近南部汽车站/近地铁站/近斗南花市/近官渡古镇/云南省博物投影设备,175,None,26,4.8,4
北欧时尚空调标间高铁南站免费接送,117,近谊康南路地铁站,33,4.7,3
【途优客】邂逅•观景房/滇池会展/民族村,226,None,72,4.8,3
地铁口大观河畔、高性价比阳光一居公寓,134,近梁家河地铁站,82,4.9,2
【途优客】落繁大商汇近万达滇池院落大三居,258,None,91,5.0,6
【古风.月出斋】南屏街中国风民宿/榻榻米,216,None,5,4.9,4
"方寸间.阳光]大客厅私人影院，长租特惠
近南屏街/翠湖云大/近医院",199,近交三桥地铁站,9,4.7,3
【摩洛】近商圈近地铁温馨私享私人影院,194,None,2,4.9,2
【途优客】清豫|近世博园/西南林大/同德,306,None,112,5.0,6
同德翠湖阳光简约两室·晨曦·泽木民宿,216,近白云路地铁站,43,4.9,4
【途优客】幸会•滇池/滇池国际/万科,266,None,112,5.0,6
『初夏』近翠湖南屏街铁4K投影大三居,366,近火车北站地铁站,18,5.0,6
【途优家】昆明高铁南站/地铁1号线4号线/昆明市政府/呈贡大学城/万达广场/原木特色民宿,89,None,3,5.0,3
【阅心】loft/地铁口西山翠湖南屏街,178,近岷山地铁站,11,4.9,2
【青年行·想宿】顶级公寓/市区夜景/离工人医院200米/安琪儿医院/地铁口150米处/可低价长租,155,None,4,5.0,2
高铁站免费接送朵云公寓双人房,96,近谊康南路地铁站,40,4.8,2
市中心/南屏街/翠湖清新loft公寓,202,近交三桥地铁站,3,5.0,3
近翠湖云大理工大地暖电梯一居大床房,167,近潘家湾地铁站,152,4.9,2
和风两室 投影做饭 市中心 近小吃街南屏,227,None,6,5.0,4
〖一屋·等风〗翠湖旁/150寸家庭影院,205,近穿心鼓楼地铁站,41,4.8,2
摩卡昆明高铁南站包接送 近呈贡大学城,101,近谊康南路地铁站,1,5.0,2
【栖宿】瑞鼎城爱琴海现代摩洛哥风情民宿近商圈近大学,236,None,2,5.0,2
【途优客】倾心近世博园/昙华寺/大三居,248,None,36,4.8,6
低价长租/云大翠湖圆通山旁清新两居,206,近火车北站地铁站,30,4.8,4
昆明红河民宿火车站地区简约欧式大床房,123,None,28,4.5,2
北辰站C出口欣都龙城复式公寓楼大床投影房,197,近北辰地铁站,3,5.0,2
【明苑公寓】北辰财富中心双床波西米亚风,215,近北辰地铁站,1,5.0,4
【春韵】一环地铁·大屏极米投影·观景精致北欧大床房·大屏极米投影·落地窗·洗衣机·可开发票,208,近交三桥地铁站,26,5.0,2
【安娜】地铁口 恒隆广场 同德广场 翠湖 多套婚纱免费试穿 摄影写真 巨幕投影 loft 复式大床房,183,近穿心鼓楼地铁站,30,4.8,2
【健康绿码入】新螺蛳湾南部客运站浪漫小屋,125,近南部汽车站地铁站,109,4.8,2
精品民宿-昆明火车站，大理高铁站旁民宿,156,近昆明火车站地铁站,42,4.7,2
昆明南站免费接站居家房可做饭,114,近谊康南路地铁站,98,4.8,2
无空调、无免费停车场、大床房/翠湖/小西门/云大医院对面/妇幼保健院丹霞路店/市体育馆地铁站C出口旁,148,None,9,5.0,2
【刚好】北欧简约黑板墙泡泡椅浴缸投影美拍,229,近拓东体育馆地铁站,4,5.0,2
北市区公交车场旁精装温馨两居（可做饭）近昆八中/十中/财大/农大/地铁/医院,213,None,19,5.0,5
【途优客】静享|世博园欧式三居,306,None,154,5.0,6
【途优客】蜗居.万达/南亚/北欧风大床房,158,None,24,4.8,2
南亚小栈2·呈贡大学城·蓝光天娇城2期北欧风ins风两居民宿（近地铁站大学城南站，高铁站，昆明南站）,216,近大学城南地铁站,16,5.0,5
市中心地铁站旁舒适温馨两居，游云大、翠湖,206,近穿心鼓楼地铁站,17,4.8,4
【兰草】地铁口空调房/滇池海埂西山南屏街,158,近岷山地铁站,3,5.0,2
简约风两室 新螺蛳湾 斗南花市 地铁旁落地窗 南部客运站对面 可停车做饭 机场大巴直达 ,225,近南部汽车站地铁站,4,5.0,4
【云溪小院】前庭后院近火车站近商圈机场大巴旁,165,None,5,4.8,2
繁星/近云大翠湖南屏/落地窗/投影/近地铁，看海鸥，近医院，家门口吃昆明百余种小吃。,160,近市体育馆地铁站,26,4.8,2
Sissi Palace-近西山滇池民族村南亚万达爱琴海独立一居室公寓、乳胶床品、高清投影海韵小屋,220,None,9,5.0,2
小草公寓昆明站附近男神女神简约风超低入驻,25,近环城南路地铁站,7,5.0,2
【京东物语】金马坊|日式投影住4人,261,近塘子巷地铁站,49,4.8,4
北辰财富中心地铁口智能奢华夜景阳光大床房,268,近北辰地铁站,47,4.9,2
昆明宇宁精品公寓酒店云大医院/潘家湾豪华大床房,114,近潘家湾地铁站,60,4.5,2
【栖悦】同德地铁近北辰精致空调一居可做饭,239,近白云路地铁站,15,5.0,2
【途优客】拾怡·近大悦城/爱情海/万达,178,None,23,5.0,2
醒来-极米百寸投影、超适合拍照约会、/四十三医院隔壁/近小西门翠湖云大/地铁口/有冰箱洗衣机可做饭,185,近市体育馆地铁站,51,5.0,3
【途优客】三丫居|近地铁/官渡人民医院,206,None,121,5.0,2
【途优客】蓝风舍•观景房/滇池/民族村,286,None,90,4.9,6
【途优客】朴悠-南部汽车站/螺蛳湾/观湖,276,None,77,5.0,5
【陌上隐】近昆华医院 南屏街 顺城金马,255,None,3,4.8,2
【猫咪物语】翠湖 红会医院 近穿心鼓楼地铁站  恒隆广场 空调投影 大床房 {4楼无电梯需爬楼},147,近穿心鼓楼地铁站,39,4.7,2
"〖一屋·半夏〗近翠湖/圆通山/红会医院/近南屏街/150寸家庭影院
",205,None,2,4.7,2
【途优客】余果|近地铁近昆明第三人民医院,236,None,54,4.9,4
【清和·童趣】市中心南屏街旁投影loft,216,近交三桥地铁站,14,4.6,2
昆明滇池路壹舒园公寓大床1.5,150,近梁家河地铁站,35,4.5,2
【慢生活·Mojito2】火车站旁300米/近大悦城/金马坊老街/网红ins温馨大床房,158,None,3,4.9,2
【云栖】简欧风温馨舒适两居近会展/昆明站,227,近日新路地铁站,28,5.0,4
民族村滇池路私人花园大床房【低价试营业】,412,None,4,4.7,2
【有客·清梦】可长租 北欧高清投影昆医附二院地铁,158,近市体育馆地铁站,13,4.9,2
知行初见空调地铁大都摩天官渡古镇免费停车,195,近珥季路地铁站,22,5.0,2
市中心东寺街金马坊南屏街昆华医院文艺两室,186,近五一路地铁站,22,4.9,4
『云栖』【夏暮】免费接送地铁站 半山海景花园别墅|近西山风景区|滇池大坝|海埂公园|云南民族村,229,None,1,5.0,2
瑞鼎城/爱情海购物公园/延安医院/盒马鲜生/新迎新城/世博园/金殿公园/同德,223,None,5,5.0,2
梦精灵﻿豪华亲子套房高铁南站包接送,159,近谊康南路地铁站,6,4.6,4
【瓶子里的书】市中心/电热毯/暖风机/投影/云大医院/昆华医院/潘家湾地铁站/看海鸥/可做饭,168,None,1,5.0,2
翠湖边双地铁口近云大医院省中医可做饭带落地窗投影房,208,None,23,4.9,2
【来了】泰式热带风情浴缸大床房翠湖南屏街,229,近穿心鼓楼地铁站,4,4.8,2
【途优客】云舍|紫薇苑/司家营地铁站,218,None,72,5.0,4
【洛可可】浴缸投影可做饭复式楼近同德广场 【宿颜】,248,近金星地铁站,48,5.0,2
【假日•时光】loft 假日风 空调大床房 吾悦广场,168,近昌源中路地铁站,6,5.0,2
昆明悦享精品酒店高新区佳悦LOFT景观大床房,147,近昌源中路地铁站,47,4.8,2
【新宿】特惠大床房+南站免费接送,158,近谊康南路地铁站,4,4.9,2
【健康绿码入住】地铁站网红秋千吊床房,102,近南部汽车站地铁站,20,5.0,2
滇池旁大商汇儿童医院带屋顶花园泡池阳光房,238,近日新路地铁站,12,5.0,2
3:近滇池大床房大坝观鸥近滇池民族大学,172,近西山公园地铁站,19,5.0,2
昆明花漫山影视酒店经济开发区精致双床房,120,近晓东村地铁站,33,4.9,2
漫云『雲夢』近新螺蛳湾国际商贸城/近南部汽车站/近地铁站/近斗南花市/近官渡古镇/云南省博物馆/小吃,199,None,10,4.9,4
【途优客】涵海|地铁/金殿世博园,246,None,107,5.0,5
云游小筑精品民宿,127,None,12,4.9,2
《丽贝家》新螺蛳湾 520浪漫豪华大圆床,138,近南部汽车站地铁站,72,4.9,2
大都摩天轻奢智能空调复式公寓/长租优惠,218,近珥季路地铁站,31,4.9,2
【小叙· 弥生】浴缸 投影  日式枯山水    和服美拍  夜景  翠湖南屏街/近商圈近医院可泡澡,229,None,1,5.0,2
【沐画•紫】市中心地铁口园通山阳光大床房,156,近穿心鼓楼地铁站,18,4.9,2
甜先森/近儿童医院/近爱琴海/近万达,184,None,5,5.0,2
昆明机场：北欧简约唯美公寓,269,近机场前地铁站,35,4.8,5
「柒间」20 防疫消毒同德地铁口私人影院,194,None,1,5.0,2
【归•心】市中心/南屏街/阳光A版、翠湖,268,近交三桥地铁站,40,4.9,2
Sissi Palace -近西山滇池民族村南亚万达爱琴海独立一居室公寓、泰国天然乳胶床品,216,None,9,5.0,2
邻家｜带暖风机欣都龙城/北辰半墙观鸥网红一居,200,近北辰地铁站,1,5.0,2
【花容·山语】投影/浴缸/地铁/医院/三中,206,None,1,5.0,2
【木漏れ日】近地铁/设计师民宿/落地窗,199,None,14,4.8,2
低价长租/地铁站旁/超大落地窗北欧阳光房,174,近穿心鼓楼地铁站,60,5.0,2
北欧风ins民宿 双立人厨具可做饭 高铁,268,近谊康南路地铁站,20,5.0,2
【小花家.绿意】南屏街金马坊昆华医院,248,近五一路地铁站,95,5.0,2
【末花·慵懒】大学城，高铁南站公寓,165,近联大街地铁站,12,4.9,2
昆明壹阁民宿温馨小筑大床房（高铁南站包接,88,近谊康南路地铁站,18,4.5,2
城宿.竹里︳昆明站/地铁口的Loft公寓,240,None,3,5.0,4
【途优客】 夏影·海伦国际官渡古镇两居,226,None,32,4.9,4
【花容·观海】私人影院/浴缸/俯瞰滇池/高铁南站/斗南/春融街地铁站/七彩云南/云大医院/大学城,262,None,3,4.9,3
宁静——南屏街、顺城CBD机场、高铁站地铁直达、中公教育、环球金融，标准一室一厅有冰箱洗衣机,160,None,9,5.0,2
一城e居.昔娅 地铁站旁浴缸投影网红大床房,216,近市体育馆地铁站,4,4.9,2
【放鹤·简】【空调】官渡大都loft民宿,167,近珥季路地铁站,2,5.0,2
【途优客】沐客|碧桂园凤凰湾/花之城,158,None,64,5.0,2
【途优客】兮曼·官渡古镇/会展/滇池,258,None,33,4.9,4
四人间24小时免费接送机场真实拍照,149,近机场前地铁站,15,4.8,4
【羽菁】#私享大床房#地铁/圆通山/翠湖/南屏街/青年路/红会医院/省妇幼,101,None,1,5.0,2
26Life族迹·云南民族创意民宿(昆明别墅店)大商汇民族大床房,125,近日新路地铁站,52,4.7,2
近高铁站 斗南花市  爱影融寓 MF1,198,近春融街地铁站,58,4.7,4
近火车站地铁站圆通山温馨4人标准间,158,近穿心鼓楼地铁站,247,4.7,4
【简宿】南亚风情第壹城商圈/七彩云南/湿地公园/翠湖/近滇池海埂公园/近大观园/ins风精装两居室,223,近五一路地铁站,108,5.0,4
昆明宇宁精品公寓双床房,178,近市体育馆地铁站,35,4.8,4
低价长租/市中心鼓楼地铁/温馨文艺居家房,174,近穿心鼓楼地铁站,53,4.9,2
昆明火车站/大理丽江高铁/机场大巴,190,近昆明火车站地铁站,94,4.9,2
《梵谷&民宿》呈贡大学城/昆明南站（高铁站）第七街区/近昆工/近云师大/Ins简约独立单间空调投影房,109,近谊康南路地铁站,17,5.0,2
海洋理\欣都龙城地铁口网红\榻榻米瞰夜景,188,近北辰地铁站,5,5.0,2
近火车南站/七彩云南/大学城/云南理工大学/商业步行街/花都海洋世界/云南民族大观园/三台山公园,188,None,3,5.0,3
"素～颜
免费停车！每日消毒！地铁口商圈",174,近珥季路地铁站,5,5.0,2
一环内/火车站旁/精品地铁公寓/两居 ,283,近环城南路地铁站,106,5.0,4
【途优客】橙歌·特价近西亮塘湿地/滇池,252,None,81,4.9,6
