民宿标题,价格,地利,评论数,得分,适合居住人数
【静苑】26轻奢简约ins风/落地景观情侣大床房/近西街/码头/漓江景区/免费停车场/赠送船票,197,None,4,5.0,2
【桃花江】全新200平北欧时尚轻奢公寓,888,近芦笛岩,48,5.0,10
花桥虹影♥近象鼻山、东西巷、观花桥赏江景,248,近七星景区,75,5.0,2
【江岸小墅】靠近芦笛岩鲁家村东西巷4,99,近芦笛岩,7,5.0,2
清新大床房+毗邻广西师范大学+临近七星公园+免费停车+每日消毒！,128,近七星景区,16,5.0,2
全新升级精品大床房 ,93,None,58,5.0,2
免费停车住古城内东西巷象鼻山漓江边两江四,347,近两江四湖,70,5.0,6
【忆江南】*在兴坪老街，一个带花园的民宿,213,None,14,4.9,4
【皇家园林】桂林火车站两江四湖周边植物园内高端阳台双床房,491,None,28,5.0,2
赏山阅水~大床亲子间,243,None,34,5.0,4
全面消毒大床房临象鼻山/民航大厦/桂林站,80,近火车南站,509,4.9,2
悦风大床房/阳朔·遇龙河大门千古情空中观景台/县城内入住接送,252,None,29,4.9,2
箐程雅居民宿城中心/象鼻山/两江四湖逸雅·双床间,132,近两江四湖,75,4.8,2
【大床双人房】阳朔西街/网红INS风/榻榻米大床/loft大床/距西街40米/【阳朔小毛驴民宿】,69,None,96,4.8,2
龙脊梯田-禅意静怡山景双床房（大寨免费接送）,202,None,52,4.9,2
【夏日限定】榻榻米亲子房 住在十里画廊里阳朔小桃子家,246,None,29,5.0,3
市中心两江四湖象鼻山，东西巷里王城边六大景区之中3房,1566,近两江四湖,69,4.9,6
温馨大床标间-十里画廊-桂林千古情-西街,1164,None,112,5.0,4
榕湖院子 榻榻米双床房,236,None,9,5.0,2
【满窗山色】榻榻米大床 住在十里画廊里阳朔小桃子家,215,None,11,5.0,2
【无忧居 】象鼻景区|两江四湖|漓江|接送机高铁服务|近商圈饮食游玩,266,近两江四湖,137,5.0,4
漓缘雅舍山景亲子间 兴坪码头五分钟,110,None,8,4.9,3
船舍茶椐民宿(桂林七星公园店)会展中心/七星公园景区船舍·听水河景豪华房,301,近七星公园,25,4.8,2
漓江边步行5分钟/东西巷/靖王府/复古风,268,近两江四湖,62,4.9,4
大三居山景房/两江四湖/象山/火车站/万象城/东西巷/轻奢北欧风,385,近芦笛岩,69,4.9,6
伍捌北欧风格公寓,142,近芦笛岩,112,4.9,2
『漓云拾光』复古工业风房  近象鼻山、东西巷+免费旅游私人订制,157,None,12,4.7,2
市政府旁近机场，万达广场，花生唐商场观湖高层浴缸房可做饭免费停车,159,近临桂新区,23,4.9,3
👑【公爵夫人】赠酒精喷瓶高成本保洁消毒,211,近七星公园,12,5.0,4
福栖双床房（送陶艺体验1份）,238,None,57,5.0,2
相沫民宿-月拢莎大床房 市中心近东西巷+咨询时段免费停车+免费旅行私人定制,139,近两江四湖,46,4.7,2
五房两厅 毗邻象山公园两江四湖景区,528,近火车南站,24,4.8,10
阳朔千古情2房2卫阳台电梯观景露台有车位,203,None,48,4.7,4
loft精装公寓2房2厅，近北站，汽车站,263,None,2,5.0,4
近象鼻山七星景区理工大学阁楼书香传世名画,509,近七星景区,55,5.0,8
阳朔西街汉服旅拍民宿/中式阳台大床房/免费体验汉服一次（不含化妆造型摄影）,282,None,176,4.9,2
云梦山 网红打卡地西街塔/千古情/漓江,179,None,12,4.7,2
锦寓酒店式公寓(桂林北站店)桂林火车北站/西站/叠彩万达商圈两卧一厅美式顶奢套房,140,近火车北站,42,4.8,4
阳朔县「漓筠小舍」A2琥珀落地窗大床｜近西街｜近商圈、龙头山码头、漓江、遇龙河、千古情、十里画廊,159,None,1,5.0,2
东西巷/象鼻山/两居两卫可做饭/投影设备/入住三天免费接站,503,近两江四湖,105,4.9,4
李家小院坐落在漓江河边、风景秀丽!,159,None,29,5.0,2
近机场兴荣郡幸福巴斯温馨小居（可做饭）,110,近临桂新区,36,5.0,2
【仙女屋】1.8米大床近桂林站机场大巴站,177,近火车南站,24,4.9,2
“阳朔|忆宿云栖双床房|近兴坪古镇|近20元人民币漓江风景区”,279,None,24,4.9,2
阳朔稻倾民宿精致榻榻米大床房/近西街,184,None,64,5.0,2
【玖居半山】瓦当 ｜ 榻榻米双床房 · 免费停车场 ,87,None,18,5.0,3
【萤火虫之夜】桂林站机场大巴站步行5分钟,188,近火车南站,21,5.0,2
【花筑】走1分钟到阳朔西街+含早餐+漓江边|遇龙河|乌布小镇|舍野双床房,419,None,80,5.0,2
阳朔西街十里画廊印象刘三姐之大床标间,123,None,75,4.9,4
大床亲子房，十里画廊-印象刘三姐，千古情,1479,None,62,4.9,4
(门口免费停车)金坑湾看日出阳台双床房,219,None,114,4.9,2
【优旅】近民航大厦/近漓江/近象鼻山/田园随心大三居/可月租,301,None,42,5.0,5
漓江江景花园/步行游两江四湖阳台双床房,368,近七星景区,19,4.8,2
凝月·180°江景家庭房,500,None,2,5.0,4
阳朔兴坪漓江阁民宿20元人民币风景区/阳朔高铁站舒适山色山景双床房,181,None,131,4.9,2
小朋友超爱^_^十里画廊旁~阳朔汽车总站附近*免费停车~优质公寓,228,None,51,5.0,3
⛱阳江秋月，沐浴着阳光，享受桂林山水💖,358,近芦笛岩,9,4.9,2
【桂湖景苑】近东西巷，两江四湖内，地段好，小区有私人车位，140平大三房2个卫生间,398,None,6,4.9,6
悦风三床房/阳朔·遇龙河大门千古情空中观景台/县城内入住接送,302,None,15,4.9,3
【桂湖景苑】近东西巷，两江四湖内，地段好，小区有私人车位，140平大三房2个卫生间,398,None,6,4.9,6
暖黄文艺+旅游商务皆宜，万达广场电梯双卫,333,近万达广场,146,5.0,6
龙脊雍雅山房墅屋  邂逅时光大床房,159,None,16,5.0,2
【优旅】大圩古镇/浪漫时尚/小复式二居,160,None,19,5.0,3
阳朔县「漓筠小舍」A2琥珀落地窗大床｜近西街｜近商圈、龙头山码头、漓江、遇龙河、千古情、十里画廊,159,None,1,5.0,2
榕湖内古南门边湖景王近东西巷象鼻山近医院,198,近两江四湖,7,4.5,4
文艺新风•大床+沙发床/市中心/投影巨幕,176,近两江四湖,14,4.9,2
西街 【已消毒】落地窗/免费停车,313,None,31,5.0,4
“阳朔|忆宿云栖大床房|近兴坪古镇|近20元人民币漓江风景区”,279,None,30,4.8,2
【萤火虫之夜】桂林站机场大巴站步行5分钟,188,近火车南站,21,5.0,2
「归凡别墅」阳光大床房【致朴】,146,None,2,5.0,2
(门口免费停车)金坑湾看日出阳台双床房,219,None,114,4.9,2
大床亲子房，十里画廊-印象刘三姐，千古情,1479,None,62,4.9,4
“阳朔|忆宿云栖双床房|近兴坪古镇|近20元人民币漓江风景区”,279,None,24,4.9,2
市政府旁近机场，万达广场，花生唐商场观湖高层浴缸房可做饭免费停车,159,近临桂新区,23,4.9,3
龙脊雍雅山房墅屋  邂逅时光大床房,159,None,16,5.0,2
象鼻山两江四湖日月双塔旁硅藻泥江景房,445,近两江四湖,21,4.8,6
遇见西街|阳朔西街边山景房 50米西街 ,288,None,6,5.0,4
桂林途宿精选公寓高新万达广场/高新区商圈高级大床房,121,近万达广场,135,4.8,2
【艺术家】近桂林站联达广场/全屋地毯,185,None,17,5.0,4
游人居 近西街千古情三房三卫 免费停车,270,None,20,5.0,6
全面消毒公寓双人间/临象鼻山/民航大厦,84,近火车南站,95,4.9,2
【Q加·舒适】Q加·桂林零距漓民宿酒店桂林火车北站/西站/叠彩万达商圈滑梯童趣房,135,None,15,4.3,3
田园民宿/一房一院观景大床房/乡村度假,152,None,38,4.9,2
庭花/阳台/家庭房/免费电动车一台/免费停车,245,None,17,4.8,3
【有间小院】桂林南站安静度假雅致大床房,160,近火车南站,12,4.9,2
《落舍》B6桂林站附近，两江四湖ins设,150,近火车南站,23,4.9,2
"糖果公寓简约特价小屋/近万达 /近吾悦/
近中央公园/有厨房可做饭/单间配套/免费停车/免费停车",111,None,10,4.9,2
阳朔鸟语花香三床套间 山景6楼无电梯/免费停车,196,None,100,5.0,4
阳朔林缘居公寓20元人民币风景区/阳朔高铁站阳台江景双床间,295,None,20,4.8,4
十里画廊景区、山景家庭套房（免费停车）（电动车免费使用两架） 可看山景、赏荷花,304,None,8,4.9,6
【欧式简奢】2室2卫，近日月双塔象鼻山桂林火车站+好停车,264,None,9,5.0,4
景致阳台大床房（送陶艺体验1份）,197,None,81,5.0,2
【双床双人房】阳朔西街/网红INS风/榻榻米loft双床/距西街40米/近十里画廊【阳朔小毛驴民宿】,96,None,76,4.8,2
“阳朔|忆宿云栖大床房|近兴坪古镇|近20元人民币漓江风景区”,279,None,30,4.8,2
【三房二厅二卫北欧风格】近医院近花生唐购物中心近市政府整套北欧ins风大宅大客厅,229,None,2,5.0,6
【温馨双床三人亲子房】阳朔西街/网红INS风/温馨双床三人亲子房/近西街/交通便利【阳朔蜗居民宿】,108,None,284,4.9,3
醉美西街2室阳台家庭套房近遇龙河+免费停车+接阳朔汽车站+旅游订制+特价门票,328,None,187,4.9,4
游人居  近西街千古情两房两卫 免费停车,202,None,28,4.6,4
西街 【已消毒】落地窗/免费停车,313,None,31,5.0,4
阳朔西街汉服旅拍民宿/中式阳台双床房/免费体验汉服一次（不含化妆造型摄影）,282,None,98,4.9,2
慕江居江景房套房免费停车,190,近芦笛岩,18,5.0,2
暖黄文艺+旅游商务皆宜，万达广场电梯双卫,333,近万达广场,146,5.0,6
桂林仔．桂林北站步行两分钟到电梯山景房,144,近火车北站,120,4.9,4
【老城旧事】市中心两江四湖象鼻山，洁静艺术3居室,385,None,7,5.0,6
近高校和购物广场影音大床房，免费停车早餐,374,None,3,5.0,2
文化宫内，两江四湖，东西巷旁的两房一厅,305,None,6,5.0,6
「归凡别墅」阳光大床房【致朴】,146,None,2,5.0,2
近桂林两江国际机场/桂林火车站舒适三房,238,近临桂新区,35,5.0,6
漓江边步行5分钟/东西巷/靖王府/文艺风,268,近两江四湖,67,4.9,4
【悠之家民宿】麓湖国际空中别墅观湖大四房（近机场 市政府  大学城 花生唐广场商圈周边 可做饭）,274,None,1,5.0,8
【留夏】多种房间类型|近漓江边|近东西巷|附近江边餐厅|有免费停车位,508,None,2,5.0,8
阳朔/一房一院/田园风光/温馨双床房,99,None,20,4.7,2
庭花*阳台/浪漫情侣大床房/免费电动车/免费停车,170,None,183,5.0,2
