民宿标题,价格,地利,评论数,得分,适合居住人数
爱尚屋 紫峰大厦欧式阳光房 ,223,近鼓楼地铁站,28,4.9,2
直达新街口 夫子庙 一号线龙眠大道地铁口,142,近龙眠大道地铁站,2,5.0,2
近商圈近医院温馨私享双床房b,178,None,3,4.6,2
新街口商圈独立卫浴大床大窗房,100,近张府园地铁站,22,4.8,2
夫子庙景区张府园地铁中央空调巨幕影音房,266,近张府园地铁站,49,4.9,2
夫子庙/南站/宜家/loft挑高北欧风,231,近大明路地铁站,2,5.0,2
南京南站喜玛拉雅双床3人特色景观房地铁直达夫子庙新街口中山陵总统府好停车,238,None,5,4.9,3
玄武湖高层云端民宿|南京之都尽收眼底 ,215,近云南路地铁站,3,4.9,2
【摩洛哥密码】南京南站旁2室，投影房，方便停车，1号线3号线地铁直达夫子庙、新街口、鸡鸣寺、总统府等,242,None,2,5.0,4
短租/月租/夫子庙/老门东步行街秦淮河边露天阳台少女心北欧风2居室lofe复式地铁直达中山陵/玄武湖,254,None,3,5.0,4
【礼&遇】半夏 夫子庙景区内/近老门东、水游城/地铁一号线直达/可做饭/精致一居电梯公寓,252,近三山街地铁站,23,4.8,3
【初见】摩登日式榻榻米邻南京南站近夫子庙,110,近大明路地铁站,77,4.8,2
430朝天宫全新复式公寓近新街口省中医院市妇幼地铁口,244,None,1,5.0,4
【依伴】玄武湖湖景房近新模范马路地铁口,240,近新模范马路地铁站,17,5.0,2
【清兮】近地铁/鼓楼/紫峰/南大/新街口,224,近鼓楼地铁站,10,4.8,2
凌阁隅舍/Alley Inn+夫子庙区域,320,近夫子庙地铁站,14,4.9,4
南京宿闲居酒店新街口地区/市中心精品大床房,107,近珠江路地铁站,3,5.0,2
花园民宿  大床房（南站玉兰路店）,200,近大明路地铁站,15,4.8,2
近夫子庙秦淮河标准双人独立卫浴美食街/秦,148,None,14,4.1,2
每日消毒.涟居.河西儿童医院.保利大剧院南京眼奥体中心地铁直达南站新街口轻奢影音房.高清投影超大幕布,246,近永初路地铁站,115,4.8,2
临南京南站 近地铁三号线 现代简约大床房,126,近胜太西路地铁站,6,4.9,2
宜居酒店公寓(南京河西万达店)河西/万达广场/龙江地区温馨大床房,173,近集庆门大街地铁站,514,4.8,2
南艺后门丽晶国际设计风格大床房独立卫生间,198,近南艺·二师·草场门地铁站,10,4.2,2
近商圈近医院温馨私享私人影院/投影设备,198,None,4,5.0,2
市中心新街口便宜实惠双人房（公共卫浴）,96,None,1,5.0,2
新街口商圈近地铁邻夫子庙总统府温馨大床房,224,近珠江路地铁站,49,4.8,2
新街口loft双床投影房丨高层落地窗,376,None,6,5.0,4
龙江4号线地铁口/29中/南艺/省妇幼温馨私享Loft复式,273,None,18,5.0,3
轻奢原宿|马群地铁口带独卫近紫金山风景区,110,None,1,5.0,2
夫子庙.秦淮河.白鹭洲公园景区.豪华两居,486,近夫子庙地铁站,318,5.0,6
新街口商圈｜1、2号线地铁口100米｜独卫｜高层观景露台俯瞰南京城｜步行可到总统府,102,None,7,4.5,2
南京A1小公馆影院公寓雨花台南京南站地区公馆·商务大床房,144,近南京南站地铁站,936,4.9,2
夜宿秦淮/音乐风精选房/夫子庙景区/老门东/水游城/双地铁,279,近三山街地铁站,69,4.8,4
凯特小屋汤山一号温泉南工大浦江学院江宁,105,近汤山温泉区,34,4.9,2
南京美年华艺术轻居公寓河西/奥体中心/奥南地区双城故事轻奢大床房,148,近永初路地铁站,8,4.9,2
「河狸之堤」高层俯瞰南京｜独卫｜空中露台｜商圈中心｜地铁1、2号线｜新街口地铁口步行100米,106,None,1,5.0,2
南京山水智客酒店新街口地区/市中心Mini智能客舱房B（无窗）,167,None,28,4.8,1
泉盛酒店玄武湖湖南路地区亲子双床房,164,近云南路地铁站,7,4.7,2
南京南站1号3号双地铁荔枝时尚双床,174,近明发广场地铁站,137,4.6,3
南京南站 80蜗居入住送红包,262,近南京南站地铁站,345,4.8,2
【山下小筑】青青河边草/优质大床房/新上房源/孝陵卫地铁口100米//近中山陵/地铁直达夫子庙新街口,624,None,7,4.9,2
【喜玛拉雅】南京南站近夫子庙地铁直达中山陵总统府玄武湖巨幕投影K歌落地窗景观1.8米大床房,256,None,1,5.0,2
【手心的阳光】夫子庙精致两居室/近地铁站/可做饭/阳台可洗衣服 步行可达老门东近商圈,198,近夫子庙地铁站,17,5.0,3
「陶陶美兮」黑白影像新街口夫子庙地铁旁,166,近张府园地铁站,27,4.5,2
『土豆家』夫子庙地铁口/日式和风榻榻米/极米高清巨幕/落地观景窗/免费寄存行李,305,None,7,5.0,2
「熙禾」雕刻时光-新街口‖艾尚新百金鹰‖珠江路‖巨幕投影‖夫子庙‖地铁口旁‖南京南站机场直达,201,近珠江路地铁站,10,4.9,2
南京禄口机场24小时免费接送/特惠大床房,206,近禄口机场地铁站,390,4.8,2
【壹庐】极素～全景落地/巨幕影院/南京南站/新街口/夫子庙/地铁一号线,215,None,12,5.0,2
【雨栖2】夫子庙新街口地铁旁阳台大床房,148,近中华门地铁站,29,5.0,2
【喜玛拉雅*每客消毒*1.8米大床】南京南站CBD民宿近夫子庙地铁游总统府动物园中山陵玄武湖好停车,176,近南京南站地铁站,93,4.8,2
