民宿标题,价格,地利,评论数,得分,适合居住人数
凤起·雨林密语双床房 | 五一商圈 | 国金IFS | 解放西路 | 坡子街 | 太平老街 ,374,None,10,4.9,2
岳麓区loft公寓大床房 近地铁3号线,229,近铁道学院地铁站,56,4.8,2
【笙花•原宿】橘子洲江景房|浴缸|100寸投影|五一商圈|楼下地铁口,407,None,12,5.0,2
无接触自助入住/【逸居民宿】-万家丽广场/东盈广场-双地铁线-近考点-现代简约极简白风,254,None,5,5.0,2
未来漫城，温馨小筑，带厨房，可做饭，可月租,164,None,3,5.0,2
【Julia&Home】-朱莉家民宿-简约ins风温馨阳光江景房，近IFS五一广场，北辰三角洲,325,近北辰三角洲地铁站,10,4.9,2
五一广场地铁口太平街坡子街北欧情侣大床房,252,近五一广场地铁站,104,4.9,2
轻住系列/简约大床房/高铁接送/地铁直达/免费停车,188,None,3,5.0,2
200寸巨屏投影】树木岭地铁口.城际口,193,近沙湾公园地铁站,5,4.5,2
长沙天百悦酒店德思勤城市广场商圈商务大床房,145,近桂花坪地铁站,37,4.9,2
星辰美宿美式复古大床房私人影院/投影设备近医院近大学 李自健美术馆 华谊兄弟电影小镇 洋湖湿地公园,159,None,1,5.0,2
马上到家•北岛•已消毒/奥克斯广场/渔人码头/六沟垅地铁站/大学城/岳麓山橘子洲五一广场江景房可做饭,406,None,1,5.0,4
徳思勤民宿/网红打卡/超大房间/近女子学院/高铁站,297,None,1,5.0,2
梅溪湖临湖/巨幕投影/音乐喷泉/一房一厅双床套房,342,None,3,5.0,4
【西湖】近五一广场/金星路地铁站/岳麓山/省肿瘤医院/西湖公园/58小镇/湖南财政学院/湘雅医学院,290,None,1,5.0,4
优享双床房/近3号线桂花公园地铁站/东塘商圈/五一商圈/长沙火车站/高桥市场,221,None,5,4.8,2
五一广场IFS【落地窗观•国金中心全景投影大床房】近岳麓山橘子洲头/坡子街/太平街/地铁口,323,None,111,5.0,2
【踏莎行】火车站对面1.8米大床/大投影,358,近长沙火车站地铁站,32,4.9,2
“晚秋”温柔和风日式Loft/全身镜【衣服免费送洗服务】民政学院/林科大/铁道学院/德思勤行李存放,550,None,21,4.9,2
俩小无猜的你我,133,None,1,5.0,2
近湘雅附一医院温馨私享大床房,340,None,57,4.9,2
【o_w民宿•挽梦】智能投影仪/可免费寄存行李/简约轻奢主义/开福寺站/直达五一商圈/已消毒,310,近开福寺地铁站,28,4.9,2
湘雅、省博物馆豪华双床房,267,近文昌阁地铁站,12,4.8,4
湘雅二医院对面温馨公寓可做饭,289,近迎宾路口地铁站,55,4.5,2
[楠社]26楼视野+新中式汉服试穿近地铁1号线、2号线五一广场芙蓉广场九龙仓中山亭大床房温馨落地窗,390,None,14,5.0,2
【西湖眺山】岳麓山西湖双景/近五一广场/大学城/溁湾镇/ 望岳湖地铁口/湘雅附三/观景三居,630,None,81,4.9,6
长沙金茂商务民宿万家丽国际MALL浪漫星星主题房,125,近万家丽广场地铁站,8,4.9,2
黄花机场舒适双床房，免费接送机,132,近机场地铁站,583,4.9,2
【米家智能民宿】五一广场国金中心步行街地铁口ins网红玻璃球智能影院房/语音控制/平和堂王府井/一盏,313,None,282,5.0,2
长沙二月二喜盈门范城精品大床房,142,近杜花路地铁站,291,4.6,2
五一商圈地铁口，观太平街城景浪漫情侣房,395,近湘江中路地铁站,369,5.0,2
【琴弦】摩洛哥吊床房IFS国金中心#五一广场#太平街口#黄兴广场#近商圈#近地铁1号线、2号线,366,None,189,4.9,2
『心遇』洋湖小清新style、巨幕投影！,125,None,4,5.0,2
长沙麓山·漫舍民宿岳麓山高校区标准大床房,102,近溁湾镇地铁站,15,4.6,2
《双床套房》多库存、五一广场1号地铁口、lFS国金中心、太平街、坡子街、黄兴广场,460,None,159,5.0,4
[拾柒】灰色经典IFS国金中心五一广场近地铁1号线、2号线,318,None,126,5.0,2
